numero_omi,nombre,bandera,anio_construccion,capacidad_teu,eslora,manga,calado_maximo,nombre_naviera
9000000,Buque_000000,Islas Marshall,2006,15276,363,48,10,Naviera_000067
9000001,Buque_000001,Panama,2001,10692,93,10,12,Naviera_000061
9000002,Buque_000002,Malta,2011,21108,162,55,13,Naviera_000097
9000003,Buque_000003,Islas Marshall,2003,7457,113,37,18,Naviera_000008
9000004,Buque_000004,Ecuador,2012,9710,232,52,7,Naviera_000008
9000005,Buque_000005,Reino Unido,1996,3969,69,50,7,Naviera_000020
9000006,Buque_000006,Panama,1990,10245,272,15,5,Naviera_000037
9000007,Buque_000007,Espana,2016,16083,108,33,17,Naviera_000066
9000008,Buque_000008,Hong Kong,2017,21929,338,27,5,Naviera_000048
9000009,Buque_000009,Bahamas,1992,21875,314,46,12,Naviera_000022
9000010,Buque_000010,Islas Marshall,1996,4563,60,39,17,Naviera_000095
9000011,Buque_000011,Liberia,2007,10635,83,41,9,Naviera_000099
9000012,Buque_000012,Japon,2014,21094,190,14,7,Naviera_000050
9000013,Buque_000013,Singapur,2022,9060,387,57,19,Naviera_000088
9000014,Buque_000014,Estados Unidos,2022,7942,278,37,13,Naviera_000041
9000015,Buque_000015,China,2021,2701,295,40,5,Naviera_000097
9000016,Buque_000016,Malta,2001,21495,224,34,16,Naviera_000033
9000017,Buque_000017,Estados Unidos,2004,11087,185,53,5,Naviera_000014
9000018,Buque_000018,Dinamarca,1982,14030,276,45,17,Naviera_000004
9000019,Buque_000019,Peru,1991,19123,285,46,15,Naviera_000065
9000020,Buque_000020,Espana,1981,5947,326,10,14,Naviera_000041
9000021,Buque_000021,China,1986,18138,336,17,9,Naviera_000019
9000022,Buque_000022,Espana,1986,12545,211,32,7,Naviera_000048
9000023,Buque_000023,Estados Unidos,2000,17882,83,59,17,Naviera_000055
9000024,Buque_000024,Bahamas,1991,12398,132,14,19,Naviera_000008
9000025,Buque_000025,Grecia,2009,22443,365,55,10,Naviera_000044
9000026,Buque_000026,Reino Unido,2011,15137,204,42,9,Naviera_000036
9000027,Buque_000027,Japon,1983,13557,368,29,8,Naviera_000008
9000028,Buque_000028,Grecia,2000,1429,397,58,17,Naviera_000099
9000029,Buque_000029,China,2020,10188,384,40,14,Naviera_000093
9000030,Buque_000030,Singapur,1983,22678,331,35,17,Naviera_000083
9000031,Buque_000031,Brasil,2011,4602,162,58,16,Naviera_000049
9000032,Buque_000032,China,2013,6368,175,11,12,Naviera_000015
9000033,Buque_000033,Liberia,1994,9162,282,47,14,Naviera_000042
9000034,Buque_000034,Liberia,2012,17051,144,22,10,Naviera_000091
9000035,Buque_000035,China,2009,22387,99,40,10,Naviera_000008
9000036,Buque_000036,Liberia,1987,19221,264,14,5,Naviera_000090
9000037,Buque_000037,Estados Unidos,1991,19905,201,20,6,Naviera_000029
9000038,Buque_000038,Noruega,1999,7065,305,30,14,Naviera_000076
9000039,Buque_000039,Noruega,2014,11081,195,54,5,Naviera_000029
9000040,Buque_000040,Islas Marshall,2008,20092,321,10,6,Naviera_000063
9000041,Buque_000041,China,1981,15165,233,31,19,Naviera_000034
9000042,Buque_000042,Singapur,1990,16030,308,33,12,Naviera_000097
9000043,Buque_000043,Singapur,2015,16472,174,52,16,Naviera_000068
9000044,Buque_000044,Mexico,2000,5942,252,52,9,Naviera_000026
9000045,Buque_000045,Mexico,2022,21717,130,18,10,Naviera_000022
9000046,Buque_000046,Peru,2018,7747,78,52,12,Naviera_000007
9000047,Buque_000047,Estados Unidos,2011,7170,315,47,12,Naviera_000084
9000048,Buque_000048,Singapur,2015,8990,350,41,5,Naviera_000017
