codigo,descripcion,peso_bruto,volumen,pais_origen,codigo_viaje
M000000000,Maquinaria industrial pesada,41983,185,Peru,V000004652
M000000001,Materiales de construccion,22286,176,Reino Unido,V000004114
M000000002,Contenedor con productos electronicos,34403,199,Noruega,V000002120
M000000003,Piezas de repuesto automotrices,20811,108,China,V000001877
M000000004,Maquinaria industrial pesada,10868,23,Estados Unidos,V000001012
M000000005,Frutas y alimentos refrigerados,16727,70,China,V000006762
M000000006,Maquinaria industrial pesada,28154,185,Espana,V000006086
M000000007,Contenedor con productos electronicos,11954,149,Espana,V000009500
M000000008,Piezas de repuesto automotrices,7986,67,Liberia,V000000690
M000000009,Acero laminado en bobinas,7723,1,Hong Kong,V000007627
M000000010,Piezas de repuesto automotrices,13694,195,Japon,V000004033
M000000011,Acero laminado en bobinas,22302,53,Islas Marshall,V000009546
M000000012,Materiales de construccion,42330,72,Mexico,V000003421
M000000013,Frutas y alimentos refrigerados,24353,115,Liberia,V000003242
M000000014,Piezas de repuesto automotrices,39560,51,Hong Kong,V000009702
M000000015,Cafe de exportacion,4699,73,Ecuador,V000009375
M000000016,Cafe de exportacion,30141,145,Colombia,V000005106
M000000017,Productos textiles y confecciones,8540,145,Japon,V000000885
M000000018,Materiales de construccion,47958,120,Grecia,V000009687
M000000019,Materiales de construccion,18313,116,Brasil,V000005950
M000000020,Piezas de repuesto automotrices,6703,77,Grecia,V000006053
M000000021,Frutas y alimentos refrigerados,26811,116,Chile,V000009256
M000000022,Contenedor con productos electronicos,23524,196,Espana,V000005810
M000000023,Piezas de repuesto automotrices,3432,4,Reino Unido,V000001404
M000000024,Piezas de repuesto automotrices,24381,105,Estados Unidos,V000000906
M000000025,Cafe de exportacion,19924,152,Grecia,V000007582
M000000026,Productos textiles y confecciones,16456,127,Espana,V000004644
M000000027,Acero laminado en bobinas,12736,115,Espana,V000003860
M000000028,Productos quimicos no peligrosos,26109,92,Liberia,V000008823
M000000029,Carga de granel de trigo,24648,82,Noruega,V000005145
M000000030,Piezas de repuesto automotrices,6769,171,China,V000001405
M000000031,Maquinaria industrial pesada,37531,50,Islas Marshall,V000009147
M000000032,Piezas de repuesto automotrices,26277,24,Colombia,V000002590
M000000033,Carga de granel de trigo,19722,51,Panama,V000009886
M000000034,Contenedor con productos electronicos,42342,31,Noruega,V000000329
M000000035,Productos quimicos no peligrosos,21932,100,Hong Kong,V000001584
M000000036,Productos quimicos no peligrosos,13849,171,Peru,V000006718
M000000037,Materiales de construccion,36762,103,Malta,V000006772
M000000038,Contenedor con productos electronicos,6248,145,Liberia,V000007702
M000000039,Cafe de exportacion,43444,68,Bahamas,V000001835
M000000040,Carga de granel de trigo,29667,30,Grecia,V000002115
M000000041,Productos textiles y confecciones,35381,44,Mexico,V000005940
M000000042,Productos quimicos no peligrosos,41010,9,Reino Unido,V000008452
M000000043,Piezas de repuesto automotrices,16113,132,Malta,V000008877
M000000044,Materiales de construccion,7448,143,Peru,V000006473
M000000045,Productos quimicos no peligrosos,15116,59,Singapur,V000009079
M000000046,Productos quimicos no peligrosos,4712,130,Alemania,V000000346
M000000047,Productos textiles y confecciones,45156,64,Peru,V000008690
M000000048,Acero laminado en bobinas,12259,88,China,V000000012
M000000049,Productos textiles y confecciones,45619,17,Colombia,V000001185
M000000050,Productos quimicos no peligrosos,30868,155,Estados Unidos,V000002216
M000000051,Maquinaria industrial pesada,26201,109,Alemania,V000007963
M000000052,Productos quimicos no peligrosos,23855,35,Mexico,V000009459
M000000053,Carga de granel de trigo,3497,199,Liberia,V000006367
M000000054,Carga de granel de trigo,9225,14,Grecia,V000008764
M000000055,Productos quimicos no peligrosos,46148,34,Espana,V000002120
M000000056,Materiales de construccion,5137,116,Dinamarca,V000003788
M000000057,Maquinaria industrial pesada,15735,49,Grecia,V000006366
M000000058,Productos textiles y confecciones,42426,185,Singapur,V000007824
M000000059,Materiales de construccion,49110,110,Singapur,V000004362
M000000060,Productos quimicos no peligrosos,32717,173,China,V000000942
M000000061,Materiales de construccion,42889,80,Liberia,V000000868
M000000062,Productos quimicos no peligrosos,41251,164,Brasil,V000000807
M000000063,Frutas y alimentos refrigerados,31659,2,Chile,V000004171
M000000064,Productos textiles y confecciones,7694,163,Japon,V000008953
M000000065,Piezas de repuesto automotrices,11227,134,Reino Unido,V000005752
M000000066,Cafe de exportacion,46844,12,Grecia,V000004626
M000000067,Contenedor con productos electronicos,20899,24,Colombia,V000008729
M000000068,Frutas y alimentos refrigerados,3871,143,Singapur,V000002656
M000000069,Maquinaria industrial pesada,46873,15,Brasil,V000001429
M000000070,Frutas y alimentos refrigerados,44084,112,Chile,V000005606
M000000071,Acero laminado en bobinas,6639,1,Singapur,V000005748
M000000072,Acero laminado en bobinas,282,152,China,V000002903
M000000073,Productos textiles y confecciones,48878,195,Estados Unidos,V000007959
M000000074,Acero laminado en bobinas,3186,108,Singapur,V000006201
M000000075,Maquinaria industrial pesada,35925,174,Liberia,V000005786
M000000076,Frutas y alimentos refrigerados,28854,43,Espana,V000008536
M000000077,Contenedor con productos electronicos,29212,111,Bahamas,V000003399
M000000078,Acero laminado en bobinas,35662,60,Noruega,V000009256
M000000079,Carga de granel de trigo,47962,73,Chile,V000005198
M000000080,Productos textiles y confecciones,48267,104,Hong Kong,V000006699
M000000081,Maquinaria industrial pesada,30777,142,Liberia,V000001100
M000000082,Productos textiles y confecciones,29377,52,Japon,V000005165
M000000083,Acero laminado en bobinas,12255,6,Ecuador,V000009209
M000000084,Maquinaria industrial pesada,8152,129,Peru,V000004894
M000000085,Carga de granel de trigo,45113,49,Brasil,V000000896
M000000086,Productos textiles y confecciones,13626,118,Islas Marshall,V000001941
M000000087,Acero laminado en bobinas,21404,155,Noruega,V000004445
