nombre,pais_registro,certificacion_solas,certificacion_ism
Naviera_000000,Panama,True,True
Naviera_000001,Espana,True,True
Naviera_000002,Japon,False,True
Naviera_000003,Reino Unido,True,False
Naviera_000004,Malta,True,True
Naviera_000005,Islas Marshall,True,True
Naviera_000006,Dinamarca,True,True
Naviera_000007,Islas Marshall,True,True
Naviera_000008,Islas Marshall,True,True
Naviera_000009,Reino Unido,True,True
Naviera_000010,Reino Unido,False,True
Naviera_000011,Brasil,True,True
Naviera_000012,Japon,True,True
Naviera_000013,Singapur,False,True
Naviera_000014,Singapur,True,True
Naviera_000015,Singapur,True,True
Naviera_000016,Islas Marshall,True,True
Naviera_000017,Espana,True,False
Naviera_000018,Colombia,True,True
Naviera_000019,Alemania,True,True
Naviera_000020,Espana,False,True
Naviera_000021,Japon,True,True
Naviera_000022,Colombia,True,True
Naviera_000023,China,True,True
Naviera_000024,Alemania,True,True
Naviera_000025,Liberia,True,True
Naviera_000026,Singapur,True,False
Naviera_000027,Alemania,True,True
Naviera_000028,Hong Kong,True,False
Naviera_000029,Bahamas,True,True
Naviera_000030,Panama,True,True
Naviera_000031,Grecia,False,True
Naviera_000032,Hong Kong,True,True
Naviera_000033,Estados Unidos,True,False
Naviera_000034,China,True,True
Naviera_000035,Espana,True,True
Naviera_000036,Liberia,True,True
Naviera_000037,Dinamarca,False,False
Naviera_000038,Panama,True,True
Naviera_000039,Colombia,True,False
Naviera_000040,Bahamas,True,True
Naviera_000041,Panama,True,True
Naviera_000042,Bahamas,False,True
Naviera_000043,Reino Unido,True,True
Naviera_000044,Bahamas,True,True
Naviera_000045,Estados Unidos,True,True
Naviera_000046,Peru,True,True
Naviera_000047,Brasil,False,True
Naviera_000048,Islas Marshall,False,True
Naviera_000049,Peru,True,True
Naviera_000050,Alemania,True,True
Naviera_000051,Panama,True,False
Naviera_000052,Singapur,True,True
Naviera_000053,Brasil,True,True
Naviera_000054,Chile,True,False
Naviera_000055,Malta,True,False
Naviera_000056,Hong Kong,False,False
Naviera_000057,Dinamarca,True,True
Naviera_000058,Alemania,True,False
Naviera_000059,Colombia,True,True
Naviera_000060,Panama,False,True
Naviera_000061,Brasil,True,False
Naviera_000062,Noruega,True,True
Naviera_000063,Peru,True,True
Naviera_000064,Panama,True,True
Naviera_000065,Dinamarca,True,True
Naviera_000066,Islas Marshall,True,False
Naviera_000067,Brasil,True,True
Naviera_000068,Brasil,True,True
Naviera_000069,Alemania,True,True
Naviera_000070,Hong Kong,False,True
Naviera_000071,Malta,True,False
Naviera_000072,Noruega,False,True
Naviera_000073,Hong Kong,True,False
Naviera_000074,Noruega,True,True
Naviera_000075,Alemania,False,False
Naviera_000076,Chile,True,True
Naviera_000077,Colombia,False,True
Naviera_000078,Ecuador,False,True
Naviera_000079,Japon,True,True
Naviera_000080,Grecia,False,False
Naviera_000081,Reino Unido,True,True
Naviera_000082,Malta,True,True
Naviera_000083,Islas Marshall,True,True
Naviera_000084,China,True,True
Naviera_000085,Ecuador,True,True
Naviera_000086,Ecuador,True,True
Naviera_000087,Alemania,True,True
Naviera_000088,Brasil,True,True
Naviera_000089,Brasil,True,True
Naviera_000090,Liberia,True,True
Naviera_000091,Colombia,True,True
Naviera_000092,Panama,False,False
Naviera_000093,Chile,True,False
Naviera_000094,Islas Marshall,True,True
Naviera_000095,Grecia,True,True
Naviera_000096,Ecuador,False,False
Naviera_000097,Islas Marshall,True,False
Naviera_000098,Liberia,True,True
Naviera_000099,Alemania,True,True
