codigo,fecha_estimada_salida,fecha_estimada_llegada,estado,consumo_combustible,buque_numero_omi
V000000000,2022-05-30,2022-07-27,En Transito,6074,9000012
V000000001,2026-11-18,2026-12-21,Cancelado,2378,9000023
V000000002,2021-07-23,2021-09-08,En Transito,6847,9000090
V000000003,2024-08-02,2024-10-13,Completado,1545,9000088
V000000004,2024-01-15,2024-03-17,En Transito,9989,9000048
V000000005,2027-11-14,2028-02-04,Retrasado,7803,9000081
V000000006,2023-08-02,2023-10-22,Retrasado,2134,9000031
V000000007,2026-02-14,2026-03-12,En Transito,15966,9000045
V000000008,2022-01-26,2022-03-13,Cancelado,19943,9000011
V000000009,2020-10-23,2020-11-09,Programado,3337,9000018
V000000010,2026-01-27,2026-04-12,Programado,1610,9000096
V000000011,2025-10-20,2025-12-08,En Transito,9579,9000037
V000000012,2027-10-19,2027-12-26,Completado,13582,9000051
V000000013,2025-05-19,2025-07-18,Programado,4186,9000074
V000000014,2020-10-22,2020-12-13,Cancelado,5771,9000005
V000000015,2027-03-10,2027-05-30,Programado,17225,9000035
V000000016,2027-08-19,2027-09-14,Completado,15622,9000046
V000000017,2023-12-24,2024-01-08,En Transito,7546,9000009
V000000018,2027-12-09,2028-01-26,Cancelado,19948,9000051
V000000019,2021-07-05,2021-09-24,Cancelado,4775,9000022
V000000020,2020-12-22,2021-03-21,Programado,2321,9000035
V000000021,2027-09-29,2027-12-26,Programado,13313,9000020
V000000022,2023-09-26,2023-11-30,Programado,17143,9000073
V000000023,2021-08-24,2021-11-17,Cancelado,13180,9000033
V000000024,2021-10-13,2021-12-26,Completado,19869,9000000
V000000025,2022-06-21,2022-07-14,Completado,12552,9000071
V000000026,2026-05-13,2026-05-21,Completado,19693,9000028
V000000027,2022-07-02,2022-08-24,Completado,1024,9000032
V000000028,2020-04-14,2020-05-22,Programado,13266,9000041
V000000029,2023-05-14,2023-06-14,Retrasado,6581,9000055
V000000030,2024-11-06,2025-01-19,En Transito,1623,9000037
V000000031,2023-05-29,2023-07-31,Completado,3485,9000071
V000000032,2023-04-05,2023-04-09,Programado,13938,9000023
V000000033,2023-07-27,2023-08-08,Programado,3803,9000050
V000000034,2021-09-18,2021-12-03,Programado,14522,9000028
V000000035,2024-06-03,2024-08-12,Retrasado,11499,9000077
V000000036,2022-06-27,2022-08-18,Retrasado,8083,9000060
V000000037,2026-11-26,2026-12-14,Cancelado,14280,9000032
V000000038,2021-09-12,2021-11-17,En Transito,12208,9000088
V000000039,2027-06-30,2027-07-10,Programado,5842,9000075
V000000040,2024-04-13,2024-04-21,Programado,9735,9000026
V000000041,2023-09-17,2023-09-27,Completado,2646,9000040
V000000042,2021-01-28,2021-02-07,Retrasado,8699,9000084
V000000043,2022-12-18,2022-12-27,En Transito,18832,9000094
V000000044,2022-12-02,2023-02-26,Programado,11741,9000049
V000000045,2022-02-08,2022-03-10,Cancelado,15374,9000057
V000000046,2024-07-26,2024-10-01,Completado,8530,9000029
V000000047,2025-06-12,2025-07-12,Retrasado,18472,9000053
V000000048,2024-08-19,2024-11-10,Retrasado,13798,9000097
V000000049,2027-01-11,2027-03-29,Completado,12668,9000016
V000000050,2021-09-02,2021-10-23,Programado,17162,9000082
V000000051,2024-03-19,2024-04-23,Programado,8455,9000064
V000000052,2023-01-01,2023-02-25,Completado,13155,9000014
V000000053,2026-08-02,2026-10-07,Programado,11242,9000022
V000000054,2022-03-22,2022-04-27,En Transito,15904,9000012
V000000055,2022-05-23,2022-06-13,Retrasado,19293,9000018
V000000056,2022-04-23,2022-06-07,En Transito,15122,9000077
V000000057,2025-01-29,2025-02-26,Retrasado,2206,9000034
V000000058,2023-02-27,2023-04-14,Retrasado,5469,9000049
V000000059,2020-09-28,2020-11-29,Completado,5397,9000080
V000000060,2026-02-10,2026-03-02,Completado,14581,9000010
V000000061,2023-08-02,2023-08-23,Retrasado,6112,9000016
V000000062,2024-04-02,2024-06-08,Completado,14990,9000077
V000000063,2022-12-12,2023-03-12,Programado,1388,9000061
V000000064,2021-07-09,2021-09-13,Cancelado,9777,9000032
V000000065,2024-01-19,2024-02-12,Retrasado,11432,9000061
V000000066,2027-07-14,2027-09-28,Completado,13525,9000077
V000000067,2022-06-30,2022-09-08,Retrasado,3561,9000025
V000000068,2022-11-02,2023-01-20,Cancelado,12167,9000099
V000000069,2024-04-10,2024-07-08,Retrasado,11121,9000091
V000000070,2024-02-06,2024-03-16,Completado,2336,9000045
V000000071,2022-10-28,2022-11-25,Completado,1172,9000096
V000000072,2025-05-18,2025-05-28,En Transito,13762,9000097
V000000073,2021-09-29,2021-10-31,Cancelado,15843,9000076
V000000074,2020-12-04,2020-12-28,Programado,8569,9000032
V000000075,2021-06-16,2021-07-31,Cancelado,8017,9000064
V000000076,2027-02-20,2027-04-18,En Transito,17666,9000090
V000000077,2022-01-21,2022-03-24,Completado,4739,9000015
V000000078,2025-09-18,2025-12-06,Programado,1874,9000077
V000000079,2026-06-06,2026-08-30,Completado,6225,9000075
V000000080,2025-07-06,2025-08-14,Retrasado,10518,9000050
V000000081,2023-07-15,2023-08-01,Retrasado,1706,9000009
V000000082,2022-06-30,2022-09-21,En Transito,13884,9000030
V000000083,2022-01-06,2022-03-19,Cancelado,6603,9000007
V000000084,2025-12-14,2026-02-10,Cancelado,15603,9000040
V000000085,2026-03-18,2026-06-13,Programado,17682,9000073
V000000086,2024-01-07,2024-01-31,Completado,15893,9000065
V000000087,2025-02-02,2025-02-07,Cancelado,7113,9000005
V000000088,2024-08-09,2024-10-02,En Transito,18053,9000046
V000000089,2024-06-09,2024-06-30,Cancelado,19180,9000003
V000000090,2027-07-22,2027-08-27,En Transito,19059,9000051
V000000091,2027-07-13,2027-08-14,En Transito,13795,9000014
V000000092,2025-10-11,2025-11-20,Retrasado,14024,9000092
V000000093,2024-10-27,2025-01-18,Completado,9337,9000063
V000000094,2026-08-14,2026-11-07,Retrasado,7267,9000001
V000000095,2025-06-16,2025-06-24,En Transito,4063,9000035
V000000096,2022-03-27,2022-06-16,Completado,13510,9000084
V000000097,2024-04-29,2024-06-02,Programado,15566,9000084
V000000098,2020-10-25,2021-01-12,Completado,8865,9000081
V000000099,2020-12-03,2021-02-03,Programado,7434,9000004
